id,region,distrito,latitud_a,longitud_a
313003,Apurimac, Andahuaylas,-13.65752,-73.37651
314003,Apurimac, Andahuaylas,-13.66208,-73.37434
315003,Apurimac, Andahuaylas,-13.67035,-73.41167
316003,Apurimac, Andahuaylas,-13.67692967,-73.40039499
317003,Apurimac, Andahuaylas,-13.68898054,-73.40863018
318003,Apurimac, Andahuaylas,-13.80404,-73.39154000000001
319003,Apurimac, Andarapa,-13.47655077,-73.37210890999999
320003,Apurimac, Challhuahuacho,-14.131645,-72.22211666
321003,Apurimac, Chiara,-13.91157499,-73.66912333000001
322003,Apurimac, Chincheros,-13.51782,-73.72438
323003,Apurimac, Chuquibambilla,-14.10414,-72.70802000000001
324003,Apurimac, Circa,-13.878375,-72.93265166000001
325003,Apurimac, Cotaruse,-14.4276,-73.20693166
326003,Apurimac, Cotaruse,-14.62650833,-73.31328000000001
327003,Apurimac, Coyllurqui,-13.82032666,-72.44568666000001
328003,Apurimac, Coyllurqui,-13.80733166,-72.42693666
329003,Apurimac, Coyllurqui,-13.96122333,-72.39347666000001
330003,Apurimac, Coyllurqui,-13.96466333,-72.38942333
331003,Apurimac, Curahuasi,-13.64609333,-72.57386999000001
332003,Apurimac, Curahuasi,-13.63964166,-72.56470499
333003,Apurimac, Curahuasi,-13.54154,-72.6961
334003,Apurimac, Curahuasi,-13.5481,-72.69345
335003,Apurimac, Curasco,-14.08784833,-72.55041833
336003,Apurimac, El Oro,-14.20865,-73.05821
337003,Apurimac, Gamarra,-13.8712,-72.50881
338003,Apurimac, Gamarra,-13.87853833,-72.48621166
339003,Apurimac, Gamarra,-13.84973,-72.491585
340003,Apurimac, Haquira,-14.21456,-72.18629
341003,Apurimac, Haquira,-14.35194333,-72.26957666
342003,Apurimac, Haquira,-14.37948166,-72.26023166
343003,Apurimac, Huaccana,-13.29576963,-73.75714845
344003,Apurimac, Huaccana,-13.337675,-73.72889333000001
345003,Apurimac, Huaccana,-13.38414833,-73.696935
346003,Apurimac, Huaccana,-13.38011,-73.69240166
347003,Apurimac, Huancarama,-13.64408,-73.08892
348003,Apurimac, Huancarama,-13.67383166,-73.07562166
349003,Apurimac, Huancarama,-13.66837499,-72.99919833
350003,Apurimac, Huanipaca,-13.48430666,-72.92731166
351003,Apurimac, Huaquirca,-14.35122,-72.91674
352003,Apurimac, Huaquirca,-14.3394,-72.89466
353003,Apurimac, Huayllati,-13.95753333,-72.49334999
354003,Apurimac, Huayllati,-13.97460666,-72.47411999000001
355003,Apurimac, Juan Espinoza Medra,-14.45291,-72.91124000000001
356003,Apurimac, Kishuara,-13.59991,-73.17232833
357003,Apurimac, Kishuara,-13.59365,-73.16213833000001
358003,Apurimac, Lambrama,-13.79552166,-72.85051
359003,Apurimac, Lambrama,-13.82765999,-72.82533166
360003,Apurimac, Mara,-14.08733,-72.10547
361003,Apurimac, Mara,-14.07521499,-72.18367499999999
362003,Apurimac, Mara,-14.074815,-72.16922166000001
363003,Apurimac, Ocobamba,-13.49402666,-73.54320165999999
364003,Apurimac, Ocobamba,-13.49596833,-73.54896666000001
365003,Apurimac, Oropesa,-14.26388,-72.55777000000001
366003,Apurimac, Pacucha,-13.60160166,-73.36635999000001
367003,Apurimac, Pacucha,-13.61130666,-73.350495
368003,Apurimac, Pacucha,-13.58691333,-73.27448166000001
369003,Apurimac, Pampachiri,-14.14225,-73.53243799000001
370003,Apurimac, Pampachiri,-14.15425,-73.55955999
371003,Apurimac, Pataypampa,-14.17901,-72.6712
372003,Apurimac, Progreso,-14.14522999,-72.35617833000001
373003,Apurimac, Progreso,-14.13980999,-72.37903833
374003,Apurimac, San Antonio de Cach,-13.78784,-73.61530000000001
375003,Apurimac, San Antonio de Cach,-13.81317,-73.62853
376003,Apurimac, San Antonio de Cach,-13.77793666,-73.61848333
377003,Apurimac, San Jerónimo,-13.64763,-73.36134
378003,Apurimac, San Jerónimo,-13.65503,-73.36028
379003,Apurimac, San Jerónimo,-13.65619,-73.36021
380003,Apurimac, San Jerónimo,-13.65815,-73.35308000000001
381003,Apurimac, San Jerónimo,-13.66173,-73.34851999999999
382003,Apurimac, San Jerónimo,-13.68076666,-73.26993
383003,Apurimac, San Miguel de Chacc,-14.00020333,-73.60119
384003,Apurimac, San Pedro de Cachor,-13.51850166,-72.81788333
385003,Apurimac, San Pedro de Cachor,-13.51222499,-72.82276333
386003,Apurimac, Santa María de Chi,-13.69058,-73.60861
387003,Apurimac, Santa María de Chi,-13.69605,-73.58586
388003,Apurimac, Santa María de Chi,-13.69945666,-73.57750498999999
389003,Apurimac, Santa María de Chi,-13.64732,-73.4996
390003,Apurimac, Santa María de Chi,-13.65099,-73.51886666
391003,Apurimac, Santa Rosa,-14.14164166,-72.66526500000001
392003,Apurimac, Santa Rosa,-14.14757333,-72.65508833
393003,Apurimac, Sañayca,-14.20272,-73.34672000000001
394003,Apurimac, Talavera,-13.65403,-73.41927
395003,Apurimac, Talavera,-13.65395,-73.42554
396003,Apurimac, Talavera,-13.65803,-73.42928000000001
397003,Apurimac, Talavera,-13.64707833,-73.41815333
398003,Apurimac, Tambobamba,-13.94319,-72.17621
399003,Apurimac, Tambobamba,-13.94664,-72.17507999999999
400003,Apurimac, Tintay,-13.91101499,-73.12049333
401003,Apurimac, Tintay,-13.90734333,-73.12316998999999
402003,Apurimac, Toraya,-14.05128,-73.29785
403003,Apurimac, Turpo,-13.78089,-73.46339999999999
404003,Apurimac, Turpo,-13.78296,-73.51382666000001
405003,Apurimac, Uranmarca,-13.67376,-73.66670000000001
406004,Arequipa, Alto Selva Alegre,-16.346,-71.52181
