;disaster_type;disaster_name;pcode;# of damaged houses;# of affected people;pcode_parent;# of affected people;# of damaged houses;land_area;# of hit distritos
;Flood;Total;210903;476;2410;2109;8516;2129;805.028195565159;2
;Flood;Total;190304;37;560;1903;10710;2677.5;2886.81936830393;1
;Flood;Total;080309;10;0;0803;3643;910.75;60.9361072958093;1
;Flood;Total;240106;319;1752;2401;12267;3066.75;346.27790789626;3
;Flood;Total;090103;2;10;0901;72746;18186.5;1089.68694749185;2
;Flood;Total;050101;3;8;0501;226760;56690;157.32230847532;2
;Flood;Total;200101;565;3145;2001;602622;150655.5;642.130957635657;2
;Flood;Total;081002;0;0;0810;3787;946.75;239.841214635427;1
;Flood;Total;160101;2935;14887;1601;1655324;413831;4039.28317048284;11
;Flood;Total;100507;44;2813;1005;114420;28605;5626.57671980859;4
;Flood;Total;221005;76;443;2210;81272;20318;3083.48585561004;4
;Flood;Total;090609;47;127;0906;775;193.75;239.204200992936;1
;Flood;Total;150605;0;23;1506;61790;15447.5;154.238777352833;1
;Flood;Total;190306;33;758;1903;143345;35836.25;54194.2984476278;5
;Flood;Total;211209;271;1553;2112;9241;2310.25;1361.68907139609;1
;Flood;Total;120201;22;96;1202;44268;11067;55.1785543628064;3
;Flood;Total;190303;37;166;1903;19608;4902;3704.34991514067;3
;Flood;Total;030406;12;30;0304;5326;1331.5;1734.71965021012;1
;Flood;Total;060301;6;55;0603;56060;14015;808.93107614651;2
;Flood;Total;061001;11;61;0610;64035;16008.75;722.486184612258;3
;Flood;Total;150902;0;0;1509;2090;522.5;302.984795175438;2
;Flood;Total;081202;257;2650;0812;10930;2732.5;171.31683720492;2
;Flood;Total;150507;36;168;1505;158512;39628;211.770546407025;4
;Flood;Total;081207;205;1025;0812;4491;1122.75;108.264517599752;1
;Flood;Total;080205;0;0;0802;9020;2255;268.40943756437;1
;Flood;Total;100604;200;13707;1006;422653;105663.25;31411.8092670343;11
;Flood;Total;131201;13;182;1312;403368;100842;6511.36704012382;6
;Flood;Total;160211;1660;9201;1602;32935;8233.75;7476.16122627456;5
;Flood;Total;250105;1725;8457;2501;586068;146517;3971.07072936297;6
;Flood;Total;110204;61;235;1102;24646;6161.5;144.488929942004;2
;Flood;Total;010702;0;0;0107;28403;7100.75;1801.66737704079;1
;Flood;Total;080508;56;250;0805;2868;717;115.721765877009;1
;Flood;Total;060101;43;219;0601;2465360;616340;3768.83429117796;10
;Flood;Total;160402;5226;18410;1604;102366;25591.5;69759.130428692;6
;Flood;Total;220908;68;398;2209;6234;1558.5;380.936603380403;2
;Flood;Total;050107;0;0;0501;3192;798;57.031724624263;1
;Flood;Total;120105;30;180;1201;888;222;127.467238472997;1
;Flood;Total;160104;5438;15330;1601;56505;14126.25;16822.1131107195;5
;Flood;Total;160501;5366;23860;1605;271404;67851;27673.8537199713;9
;Flood;Total;080202;0;0;0802;2379;594.75;71.3583982891383;1
;Flood;Total;170103;227;1143;1701;23304;5826;30962.506159929;4
;Flood;Total;220901;360;1693;2209;146030;36507.5;115.626556191347;2
;Flood;Total;070101;15;70;0701;1627556;406889;199.784895186111;4
;Flood;Total;120904;12;28;1209;11838;2959.5;63.8647903744783;3
;Flood;Total;210105;27;36;2101;45344;11336;416.850570066572;4
;Flood;Total;200111;490;0;2001;80304;20076;1531.52435041343;3
;Flood;Total;160508;138;407;1605;2070;517.5;14090.2137708175;3
;Flood;Total;160507;7826;26069;1605;34489;8622.25;18183.5712515946;7
;Flood;Total;010703;2;12;0107;17630;4407.5;598.32228605231;2
;Flood;Total;220503;330;1650;2205;15255;3813.75;3041.79741523567;3
;Flood;Total;130103;2;10;1301;41914;10478.5;1.75270433818896;1
;Flood;Total;211208;0;0;2112;2269;567.25;645.322344332429;1
;Flood;Total;090310;114;160;0903;15028;3757;66.1871479916582;2
;Flood;Total;200110;40;200;2001;40613;10153.25;239.245335143075;1
;Flood;Total;150142;1;7;1501;463014;115753.5;34.3039372432415;1
;Flood;Total;220803;6;28;2208;13156;3289;170.572542650735;1
;Flood;Total;030109;3;20;0301;29652;7413;159.02902674402;3
;Flood;Total;060808;39;117;0608;15314;3828.5;442.405102436527;2
;Flood;Total;080401;164;1020;0804;139896;34974;1871.57364853832;6
;Flood;Total;100603;0;543;1006;12303;3075.75;381.910261574422;3
;Flood;Total;160305;10004;44635;1603;88296;22074;95359.6983475002;6
;Flood;Total;220508;17;55;2205;2900;725;1291.95010891747;2
;Flood;Total;220905;819;3987;2209;10764;2691;1840.71683116018;6
;Flood;Total;211102;172;860;2111;4224;1056;193.192416571308;1
;Flood;Total;050605;47;182;0506;2018;504.5;367.033728866445;1
;Flood;Total;150201;3;12;1502;140860;35215;317.356761036911;2
;Flood;Total;130207;5;25;1302;39320;9830;227.394508927045;2
;Flood;Total;081201;37;185;0812;18508;4627;281.520114973193;2
;Flood;Total;120427;90;250;1204;1626;406.5;320.070621624272;1
;Flood;Total;120607;12;52;1206;28301;7075.25;488.870921707244;1
;Flood;Total;020101;2;11;0201;128218;32054.5;848.051530548749;2
;Flood;Total;210801;25;150;2108;44794;11198.5;2040.49407972086;2
;Flood;Total;221004;40;160;2210;1006;251.5;1062.78431293413;1
;Flood;Total;090701;0;4;0907;11166;2791.5;107.40143733031;1
;Flood;Total;160601;1837;12474;1606;136365;34091.25;55186.1140034964;5
;Flood;Total;160103;4445;12504;1601;121350;30337.5;27406.9446913598;6
;Flood;Total;130601;1;4;1306;54514;13628.5;802.822405989811;2
;Flood;Total;250401;103;680;2504;40329;10082.25;165798.483537488;9
;Flood;Total;200504;360;1800;2005;12429;3107.25;121.895303713908;1
;Flood;Total;210606;426;2126;2106;20424;5106;1227.02979010479;4
;Flood;Total;210211;110;272;2102;9978;2494.5;515.804010213091;1
;Flood;Total;170204;319;1665;1702;39798;9949.5;9118.37502732793;6
;Flood;Total;210107;1066;5330;2101;16068;4017;193.750484290002;2
;Flood;Total;250302;837;4269;2503;99332;24833;11789.553305366;4
;Flood;Total;030216;55;280;0302;54939;13734.75;474.128910650851;3
;Flood;Total;010509;46;315;0105;4404;1101;96.2111454799037;1
;Flood;Total;190101;4;22;1901;78255;19563.75;44.9179542105446;3
;Flood;Total;110210;0;0;1102;54992;13748;33.1783875446205;2
;Flood;Total;110211;0;0;1102;4990;1247.5;11.4150228708611;1
;Flood;Total;020803;0;0;0208;2058;514.5;219.13694311479;1
;Flood;Total;030105;1;4;0301;4749;1187.25;425.466058899547;1
;Flood;Total;220103;16;85;2201;1993;498.25;69.6745288990703;1
;Flood;Total;220504;54;270;2205;15798;3949.5;2522.06741162444;2
;Flood;Total;050613;15;75;0506;3020;755;716.31145763022;1
;Flood;Total;100903;0;2475;1009;12606;3151.5;1897.39262786222;2
;Flood;Total;130901;2;10;1309;124848;31212;834.548600308321;2
;Flood;Total;040519;12;38;0405;2137;534.25;1112.75396186165;1
;Flood;Total;060310;9;45;0603;12146;3036.5;527.564197636744;2
